quadrant,kernel,n_eff_global,noise_frac,n_noisy,T_log,Regime
NE,EMA_alpha0.5,2091,-0.2,1673,0.0,Equilibrium
NE,EMA_alpha0.5,2091,-0.1,1882,0.0,Equilibrium
NE,EMA_alpha0.5,2091,-0.05,1986,0.0,Equilibrium
NE,EMA_alpha0.5,2091,-0.01,2070,0.0,Equilibrium
NE,EMA_alpha0.5,2091,0.0,2091,0.0,Equilibrium
NE,EMA_alpha0.5,2091,0.01,2112,0.0,Equilibrium
NE,EMA_alpha0.5,2091,0.05,2196,0.0,Equilibrium
NE,EMA_alpha0.5,2091,0.1,2300,0.0,Equilibrium
NE,EMA_alpha0.5,2091,0.2,2509,0.0,Equilibrium
NE,Boxcar_W5,2106,-0.2,1685,0.0,Equilibrium
NE,Boxcar_W5,2106,-0.1,1895,0.0,Equilibrium
NE,Boxcar_W5,2106,-0.05,2001,0.0,Equilibrium
NE,Boxcar_W5,2106,-0.01,2085,0.0,Equilibrium
NE,Boxcar_W5,2106,0.0,2106,0.0,Equilibrium
NE,Boxcar_W5,2106,0.01,2127,0.0,Equilibrium
NE,Boxcar_W5,2106,0.05,2211,0.0,Equilibrium
NE,Boxcar_W5,2106,0.1,2317,0.0,Equilibrium
NE,Boxcar_W5,2106,0.2,2527,0.0,Equilibrium
NW,EMA_alpha0.5,2033,-0.2,1626,0.0,Equilibrium
NW,EMA_alpha0.5,2033,-0.1,1830,0.0,Equilibrium
NW,EMA_alpha0.5,2033,-0.05,1931,0.0,Equilibrium
NW,EMA_alpha0.5,2033,-0.01,2013,0.0,Equilibrium
NW,EMA_alpha0.5,2033,0.0,2033,0.0,Equilibrium
NW,EMA_alpha0.5,2033,0.01,2053,0.0,Equilibrium
NW,EMA_alpha0.5,2033,0.05,2135,0.0,Equilibrium
NW,EMA_alpha0.5,2033,0.1,2236,0.0,Equilibrium
NW,EMA_alpha0.5,2033,0.2,2440,0.0,Equilibrium
NW,Boxcar_W5,2039,-0.2,1631,0.0,Equilibrium
NW,Boxcar_W5,2039,-0.1,1835,0.0,Equilibrium
NW,Boxcar_W5,2039,-0.05,1937,0.0,Equilibrium
NW,Boxcar_W5,2039,-0.01,2019,0.0,Equilibrium
NW,Boxcar_W5,2039,0.0,2039,0.0,Equilibrium
NW,Boxcar_W5,2039,0.01,2059,0.0,Equilibrium
NW,Boxcar_W5,2039,0.05,2141,0.0,Equilibrium
NW,Boxcar_W5,2039,0.1,2243,0.0,Equilibrium
NW,Boxcar_W5,2039,0.2,2447,0.0,Equilibrium
SE,EMA_alpha0.5,1959,-0.2,1567,0.0,Equilibrium
SE,EMA_alpha0.5,1959,-0.1,1763,0.0,Equilibrium
SE,EMA_alpha0.5,1959,-0.05,1861,0.0,Equilibrium
SE,EMA_alpha0.5,1959,-0.01,1939,0.0,Equilibrium
SE,EMA_alpha0.5,1959,0.0,1959,0.0,Equilibrium
SE,EMA_alpha0.5,1959,0.01,1979,0.0,Equilibrium
SE,EMA_alpha0.5,1959,0.05,2057,0.0,Equilibrium
SE,EMA_alpha0.5,1959,0.1,2155,0.0,Equilibrium
SE,EMA_alpha0.5,1959,0.2,2351,0.0,Equilibrium
SE,Boxcar_W5,1961,-0.2,1569,0.0,Equilibrium
SE,Boxcar_W5,1961,-0.1,1765,0.0,Equilibrium
SE,Boxcar_W5,1961,-0.05,1863,0.0,Equilibrium
SE,Boxcar_W5,1961,-0.01,1941,0.0,Equilibrium
SE,Boxcar_W5,1961,0.0,1961,0.0,Equilibrium
SE,Boxcar_W5,1961,0.01,1981,0.0,Equilibrium
SE,Boxcar_W5,1961,0.05,2059,0.0,Equilibrium
SE,Boxcar_W5,1961,0.1,2157,0.0,Equilibrium
SE,Boxcar_W5,1961,0.2,2353,0.0,Equilibrium
SW,EMA_alpha0.5,1980,-0.2,1584,0.0,Equilibrium
SW,EMA_alpha0.5,1980,-0.1,1782,0.0,Equilibrium
SW,EMA_alpha0.5,1980,-0.05,1881,0.0,Equilibrium
SW,EMA_alpha0.5,1980,-0.01,1960,0.0,Equilibrium
SW,EMA_alpha0.5,1980,0.0,1980,0.0,Equilibrium
SW,EMA_alpha0.5,1980,0.01,2000,0.0,Equilibrium
SW,EMA_alpha0.5,1980,0.05,2079,0.0,Equilibrium
SW,EMA_alpha0.5,1980,0.1,2178,0.0,Equilibrium
SW,EMA_alpha0.5,1980,0.2,2376,0.0,Equilibrium
SW,Boxcar_W5,1982,-0.2,1586,0.0,Equilibrium
SW,Boxcar_W5,1982,-0.1,1784,0.0,Equilibrium
SW,Boxcar_W5,1982,-0.05,1883,0.0,Equilibrium
SW,Boxcar_W5,1982,-0.01,1962,0.0,Equilibrium
SW,Boxcar_W5,1982,0.0,1982,0.0,Equilibrium
SW,Boxcar_W5,1982,0.01,2002,0.0,Equilibrium
SW,Boxcar_W5,1982,0.05,2081,0.0,Equilibrium
SW,Boxcar_W5,1982,0.1,2180,0.0,Equilibrium
SW,Boxcar_W5,1982,0.2,2378,0.0,Equilibrium
